id;title;description;question;code_title;code_description;code;full_code;result;additional
1;Pants Manors;Beauty e-markets;Future Grocery;Computer;Islands Up-sized programming;strategize framework;SQL Account Shirt;reinvent;Refined Developer compress
2;back;Extension Rubber optical;California;Indian Grocery;compress;Direct e-commerce;implementation;USB SQL Fords;Tunisia invoice fuchsia
3;Industrial Beauty;Generic e-markets Chief;Boliviano Chad;Enhanced Compatible;Future Missouri;Sheqel;24/7 blue Vermont;Ringgit GB;Practical calculate mobile
4;Gloves;interactive synergistic proactive;Quetzal Refined channels;Caribbean infrastructure;virtual engage generate;Licensed Steel connecting;Decentralized IB;Personal;Mexico Directives
5;intuitive;Games Planner User;maximize Metal Pizza;Identity Mexico;Hawaii input auxiliary;transmitter Towels;needs-based;24/7 niches;Handcrafted SDD
6;Dynamic Grocery intangible;solution;Manager;Clothing;Shoal panel;Western Course;grey Massachusetts;Gloves Account California;Silver
7;Practical users Account;Circle;Licensed quantify;withdrawal Small;Account Soap;ivory;program;calculate;SMTP multi-byte
8;Games Wooden;policy drive;Ball Customer Bedfordshire;e-services port;Multi-channelled;matrix;deposit protocol synthesizing;Lesotho Intelligent withdrawal;redundant haptic
9;Awesome Dynamic;index;Louisiana;Manager Bulgaria group;programming Metal;value-added Corporate toolset;Credit;Personal Intelligent Avon;Falkland optimizing
10;Sleek Jordanian Factors;Berkshire asymmetric;port Mobility Auto;empowering Dong;Sausages open-source Bedfordshire;alarm withdrawal tan;Legacy;back-end Kenya;neural compressing
